variable,importance
wbc,0.102990401500106
glucose,0.0961039712593732
potassium,0.0934409449429535
lactate,0.0717564049576935
bicarbonate,0.0701754640147132
bun,0.0675307065156142
age,0.0650872551096609
sodium,0.0646961639289093
platelets,0.0614623554306177
bilirubin,0.0551911285829295
egfr_baseline,0.0540829735779912
creat_baseline,0.0466032385330724
charlson,0.0327274084035652
race_white,0.0237766433005299
concomitant_loop_diuretic,0.0111180679184133
mech_vent,0.0102272569759882
liver_disease,0.00843410179749568
lactate_miss,0.00809109152534559
hypertension,0.00795671904674199
heart_failure,0.00743506090654021
female,0.00718404713838005
icu_at_t0,0.00666334838188172
diabetes,0.0062186949473071
bilirubin_miss,0.00588747394266166
race_black,0.00423545926729351
vasopressor,0.00423150792641537
ckd_any,0.00351250197315663
concomitant_vancomycin,0.00210716399994324
cancer,0.000695281599695768
aki_at_baseline,0.000249325049097428
copd,6.39187729562773e-05
concomitant_aminoglycoside,6.39187729562773e-05
race_hispanic,0
