variable,SMD
age,0.37746042170752
female,0.031324431737549
race_cat,0.118318728151805
admission_type,0.469997723089217
icu_at_t0,0.184986999333671
mssa_confirmed_label,0.13033169783568
ckd_any,0.154456884315728
egfr_baseline,0.219566606251799
creat_baseline,0.189766902448315
diabetes,0.0430230662497659
hypertension,0.0448508709731267
heart_failure,0.143244392928959
liver_disease,0.20417412009806
cancer,0.267022615605741
copd,0.0793420508253084
charlson,0.18385203086658
vasopressor,0.0819023112973088
mech_vent,0.214993106750746
wbc,0.143259074756248
platelets,0.276882292238469
lactate,0.126403252892942
bilirubin,0.0751898877914231
sodium,0.0815221825592858
potassium,0.0706010942770083
bun,0.0484062684289538
bicarbonate,0.0746440011058802
concomitant_vancomycin,0.114032228127456
concomitant_aminoglycoside,0.308240035716471
concomitant_loop_diuretic,0.0573073824851769
