ASP,CEF,p,test,SMD,variable
138,308,"","","",n
55.95 (18.92),62.81 (17.43),<0.001,"",0.377,age (mean (SD))
49 (35.5),114 (37.0),0.842,"",0.031,female = 1 (%)
"","",0.856,"",0.118,race_cat (%)
4 (2.9),6 (1.9),"","","",   ASIAN
19 (13.8),36 (11.7),"","","",   BLACK
3 (2.2),10 (3.2),"","","",   HISPANIC
13 (9.4),34 (11.0),"","","",   OTHER/UNKNOWN
99 (71.7),222 (72.1),"","","",   WHITE
"","",0.002,"",0.470,admission_type (%)
2 (1.4),8 (2.6),"","","",   DIRECT EMER.
2 (1.4),1 (0.3),"","","",   ELECTIVE
69 (50.0),107 (34.7),"","","",   EW EMER.
40 (29.0),149 (48.4),"","","",   OBSERVATION ADMIT
0 (0.0),3 (1.0),"","","",   SURGICAL SAME DAY ADMISSION
25 (18.1),40 (13.0),"","","",   URGENT
48 (34.8),81 (26.3),0.087,"",0.185,icu_at_t0 = 1 (%)
32 (23.2),89 (28.9),0.255,"",0.130,mssa_confirmed_label = Unknown (%)
54 (39.1),144 (46.8),0.163,"",0.154,ckd_any = 1 (%)
73.80 (38.83),65.09 (40.53),0.036,"",0.220,egfr_baseline (mean (SD))
1.71 (1.89),2.14 (2.54),0.083,"",0.190,creat_baseline (mean (SD))
50 (36.2),118 (38.3),0.754,"",0.043,diabetes = 1 (%)
88 (63.8),203 (65.9),0.740,"",0.045,hypertension = 1 (%)
35 (25.4),98 (31.8),0.206,"",0.143,heart_failure = 1 (%)
30 (21.7),43 (14.0),0.056,"",0.204,liver_disease = 1 (%)
8 (5.8),42 (13.6),0.024,"",0.267,cancer = 1 (%)
8 (5.8),24 (7.8),0.578,"",0.079,copd = 1 (%)
2.49 (2.56),2.97 (2.72),0.077,"",0.184,charlson (mean (SD))
34 (24.6),87 (28.2),0.498,"",0.082,vasopressor = 1 (%)
40 (29.0),61 (19.8),0.043,"",0.215,mech_vent = 1 (%)
13.26 (10.99),11.96 (6.70),0.128,"",0.143,wbc (mean (SD))
171.49 (103.35),202.35 (119.02),0.009,"",0.277,platelets (mean (SD))
1.98 (1.10),1.85 (0.91),0.403,"",0.126,lactate (mean (SD))
1.73 (3.45),1.45 (3.81),0.564,"",0.075,bilirubin (mean (SD))
136.55 (4.59),136.15 (5.23),0.443,"",0.082,sodium (mean (SD))
4.07 (0.61),4.11 (0.57),0.490,"",0.071,potassium (mean (SD))
32.35 (25.40),33.61 (26.49),0.645,"",0.048,bun (mean (SD))
22.93 (4.02),23.22 (3.58),0.462,"",0.075,bicarbonate (mean (SD))
118 (85.5),275 (89.3),0.326,"",0.114,concomitant_vancomycin = 1 (%)
13 (9.4),7 (2.3),0.002,"",0.308,concomitant_aminoglycoside = 1 (%)
32 (23.2),79 (25.6),0.662,"",0.057,concomitant_loop_diuretic = 1 (%)
